Invoice/Item Number,Date,Volume Sold (Liters),Volume Sold (Gallons)
S31342400008,03/21/2016,9,2.38
S31342400017,03/21/2016,2.25,0.59
S31343800016,03/21/2016,2.25,0.59
S31343800017,03/21/2016,2.25,0.59
S31343800018,03/21/2016,2.25,0.59
S31343800025,03/21/2016,1,0.26
S31347200021,03/21/2016,18,4.76
S31347200024,03/21/2016,12,3.17
S31347200033,03/21/2016,12,3.17
S31347200062,03/21/2016,9,2.38
S31347200068,03/21/2016,12,3.17
S31347200070,03/21/2016,12,3.17
S31347200072,03/21/2016,9,2.38
S31347200076,03/21/2016,10.5,2.77
S31347300006,03/22/2016,9,2.38
S31347300017,03/22/2016,9,2.38
S31348100085,03/21/2016,0.6,0.16
S31348100086,03/21/2016,0.2,0.05
S31348100088,03/21/2016,0.75,0.2
S31348100089,03/21/2016,0.75,0.2
S31348100090,03/21/2016,1.5,0.4
S31348100091,03/21/2016,10.5,2.77
S31348100092,03/21/2016,0.75,0.2
S31348100098,03/21/2016,1.5,0.4
S31348100099,03/21/2016,0.75,0.2
S31348100135,03/21/2016,9,2.38
S31348100142,03/21/2016,57.6,15.22
S31348100149,03/21/2016,3,0.79
S31348100150,03/21/2016,1.5,0.4
S31348100151,03/21/2016,1.5,0.4
S31348100152,03/21/2016,3,0.79
S31348900001,03/21/2016,2.25,0.59
S31348900041,03/21/2016,0.5,0.13
S31348900046,03/21/2016,2,0.53
S31348900048,03/21/2016,2.25,0.59
S31348900049,03/21/2016,2.25,0.59
S31348900057,03/21/2016,1.5,0.4
S31348900059,03/21/2016,2.25,0.59
S31350200002,03/21/2016,0.5,0.13
S31350200006,03/21/2016,1,0.26
S31350200007,03/21/2016,1,0.26
S31350200008,03/21/2016,2.4,0.63
S31350200009,03/21/2016,3,0.79
S31350300020,03/21/2016,3,0.79
S31350300021,03/21/2016,0.2,0.05
S31350300022,03/21/2016,2.25,0.59
S31350300023,03/21/2016,0.4,0.11
S31350300024,03/21/2016,1.5,0.4
S31350300037,03/21/2016,0.75,0.2
S31350300046,03/21/2016,0.38,0.1
S31350300050,03/21/2016,0.38,0.1
S31350300053,03/21/2016,2.25,0.59
S31350300060,03/21/2016,0.75,0.2
S31350300063,03/21/2016,0.75,0.2
S31350500005,03/22/2016,9,2.38
S31352200004,03/21/2016,2,0.53
S31352800008,03/21/2016,9,2.38
S31352800009,03/21/2016,9,2.38
S31352800022,03/21/2016,9,2.38
S31352800034,03/21/2016,3,0.79
S31352800035,03/21/2016,4.5,1.19
S31352800042,03/21/2016,4.5,1.19
S31352800043,03/21/2016,4.5,1.19
S31352800077,03/21/2016,9,2.38
S31353400079,03/21/2016,2.25,0.59
S31353400101,03/21/2016,0.6,0.16
S31353400102,03/21/2016,1.5,0.4
S31353400103,03/21/2016,1.5,0.4
S31353400104,03/21/2016,1.5,0.4
S31353400105,03/21/2016,3,0.79
S31353400106,03/21/2016,2.25,0.59
S31353400107,03/21/2016,3,0.79
S31353400108,03/21/2016,9,2.38
S31353400109,03/21/2016,0.5,0.13
S31353400110,03/21/2016,2.25,0.59
S31353400111,03/21/2016,1.5,0.4
S31353400115,03/21/2016,1.5,0.4
S31353400152,03/21/2016,2.25,0.59
S31353400153,03/21/2016,1.5,0.4
S31353400154,03/21/2016,1.5,0.4
S31353400158,03/21/2016,9,2.38
S31353400160,03/21/2016,1.5,0.4
S31353400162,03/21/2016,1.5,0.4
S31353400163,03/21/2016,9,2.38
S31353400164,03/21/2016,1.5,0.4
S31353400165,03/21/2016,1.5,0.4
S31354400017,03/21/2016,0.5,0.13
S31354800001,03/21/2016,225,59.44
S31357400035,03/21/2016,4.5,1.19
S31357400051,03/21/2016,2.25,0.59
S31357400063,03/21/2016,3,0.79
S31357400064,03/21/2016,3,0.79
S31357400068,03/21/2016,3.75,0.99
S31357400075,03/21/2016,2.25,0.59
S31357400078,03/21/2016,1,0.26
S31357400080,03/21/2016,1.5,0.4
S31360800015,03/22/2016,2,0.53
S31360800019,03/22/2016,3,0.79
S31360800020,03/22/2016,3,0.79
S31363300010,03/21/2016,1.5,0.4
S31363300032,03/21/2016,1.5,0.4
S31363300038,03/21/2016,0.75,0.2
S31363300044,03/21/2016,9,2.38
S31363300047,03/21/2016,3,0.79
S31363300048,03/21/2016,3,0.79
S31363300071,03/21/2016,2.25,0.59
S31363300085,03/21/2016,10.5,2.77
S31363300086,03/21/2016,0.5,0.13
S31363300087,03/21/2016,9,2.38
S31363300090,03/21/2016,10.5,2.77
S31363300125,03/21/2016,2.25,0.59
S31363300126,03/21/2016,10.5,2.77
S31363300149,03/21/2016,2.25,0.59
S31363300150,03/21/2016,1.5,0.4
S31363300151,03/21/2016,2.25,0.59
S31363300152,03/21/2016,1.5,0.4
S31363300153,03/21/2016,1.5,0.4
S31363300154,03/21/2016,1.5,0.4
S31363300155,03/21/2016,1.5,0.4
S31363300156,03/21/2016,9,2.38
S31363300157,03/21/2016,2.25,0.59
S31363300158,03/21/2016,1.5,0.4
S31363300159,03/21/2016,3.75,0.99
S31363300170,03/21/2016,2.25,0.59
S31364200004,03/21/2016,3,0.79
S31364200021,03/21/2016,1.5,0.4
S31364200022,03/21/2016,1.5,0.4
S31364200023,03/21/2016,1,0.26
S31364200032,03/21/2016,0.75,0.2
S31364200033,03/21/2016,0.75,0.2
S31364200035,03/21/2016,1.5,0.4
S31364200037,03/21/2016,1,0.26
S31364200038,03/21/2016,0.5,0.13
S31364800016,03/24/2016,4.5,1.19
S31364800019,03/24/2016,4.5,1.19
S31365300002,03/22/2016,2.25,0.59
S31365300003,03/22/2016,2.25,0.59
S31365300014,03/22/2016,2.25,0.59
S31369300013,03/23/2016,9,2.38
S31369300014,03/23/2016,9,2.38
S31369300016,03/23/2016,9,2.38
S31369300017,03/23/2016,9,2.38
S31369300073,03/23/2016,9,2.38
S31369300079,03/23/2016,10.5,2.77
S31369300090,03/23/2016,1.5,0.4
S31369300097,03/23/2016,1,0.26
S31369300099,03/23/2016,1,0.26
S31369300100,03/23/2016,0.5,0.13
S31369300113,03/23/2016,3,0.79
S31369300115,03/23/2016,1,0.26
S31369300119,03/23/2016,0.5,0.13
S31369300120,03/23/2016,0.5,0.13
S31369900012,03/23/2016,1.12,0.3
S31370400009,03/22/2016,9,2.38
S31370400020,03/22/2016,9,2.38
S31370400021,03/22/2016,9,2.38
S31370400059,03/22/2016,3,0.79
S31370400060,03/22/2016,3,0.79
S31370400061,03/22/2016,3,0.79
S31370400062,03/22/2016,2.25,0.59
S31370400067,03/22/2016,2.25,0.59
S31370400072,03/22/2016,0.5,0.13
S31370400073,03/22/2016,0.5,0.13
S31370400078,03/22/2016,0.5,0.13
S31372100001,03/22/2016,9,2.38
S31372100002,03/22/2016,9,2.38
S31372100003,03/22/2016,9,2.38
S31372100008,03/22/2016,9,2.38
S31372100010,03/22/2016,9,2.38
S31372100015,03/22/2016,9,2.38
S31372100028,03/22/2016,9,2.38
S31372100035,03/22/2016,1,0.26
S31372700008,03/23/2016,4.5,1.19
S31372700014,03/23/2016,4.5,1.19
S31372700026,03/23/2016,0.75,0.2
S31372700030,03/23/2016,1.5,0.4
S31372700040,03/23/2016,0.75,0.2
S31372700054,03/23/2016,9,2.38
S31372700069,03/23/2016,1.5,0.4
S31372700070,03/23/2016,2.25,0.59
S31372700072,03/23/2016,1.5,0.4
S31372700073,03/23/2016,2.25,0.59
S31372700075,03/23/2016,1.5,0.4
S31372700079,03/23/2016,1.5,0.4
S31372700080,03/23/2016,1.5,0.4
S31372700150,03/23/2016,3.6,0.95
S31372700151,03/23/2016,4.5,1.19
S31372700155,03/23/2016,0.5,0.13
S31372700156,03/23/2016,0.5,0.13
S31372700164,03/23/2016,0.5,0.13
S31372700167,03/23/2016,0.5,0.13
S31372700168,03/23/2016,1.5,0.4
S31372700169,03/23/2016,1.5,0.4
S31372700179,03/23/2016,1,0.26
S31372700183,03/23/2016,1.2,0.32
S31372700184,03/23/2016,1,0.26
S31372700192,03/23/2016,21,5.55
S31372700197,03/23/2016,9,2.38
S31372700200,03/23/2016,9,2.38
S31372700207,03/23/2016,1.5,0.4
S31372700208,03/23/2016,2.25,0.59
S31372700210,03/23/2016,4.5,1.19
S31372700211,03/23/2016,3,0.79
S31372700212,03/23/2016,3,0.79
S31372700213,03/23/2016,2.25,0.59
S31372700221,03/23/2016,2.25,0.59
S31372700222,03/23/2016,1.8,0.48
S31372700224,03/23/2016,3,0.79
S31372700225,03/23/2016,3,0.79
S31373000016,03/23/2016,1.5,0.4
S31374000002,03/22/2016,2.25,0.59
S31375900007,03/22/2016,12,3.17
S31376100014,03/22/2016,9,2.38
S31377700038,03/22/2016,1.5,0.4
S31377700039,03/22/2016,9,2.38
S31377700040,03/22/2016,10.5,2.77
S31377700044,03/22/2016,9,2.38
S31377700045,03/22/2016,0.75,0.2
S31377700048,03/22/2016,0.75,0.2
S31377700051,03/22/2016,0.75,0.2
S31377700053,03/22/2016,0.75,0.2
S31377700054,03/22/2016,0.75,0.2
S31377700068,03/22/2016,1,0.26
S31377700072,03/22/2016,0.75,0.2
S31377700073,03/22/2016,0.75,0.2
S31380800008,03/23/2016,9,2.38
S31380800009,03/23/2016,9,2.38
S31380800011,03/23/2016,9,2.38
S31381600018,03/22/2016,0.38,0.1
S31381600022,03/22/2016,0.75,0.2
S31381600023,03/22/2016,0.75,0.2
S31381600028,03/22/2016,0.2,0.05
S31381600029,03/22/2016,0.75,0.2
S31381600030,03/22/2016,0.38,0.1
S31381600031,03/22/2016,0.75,0.2
S31381600034,03/22/2016,0.75,0.2
S31382500005,03/22/2016,4.5,1.19
S31382500017,03/22/2016,2.25,0.59
S31383100012,03/22/2016,3.5,0.92
S31383800012,03/22/2016,2.25,0.59
S31383800015,03/22/2016,0.75,0.2
S31383800018,03/22/2016,2.25,0.59
S31383800019,03/22/2016,2.25,0.59
S31383800025,03/22/2016,3,0.79
S31383800039,03/22/2016,1.5,0.4
S31383800046,03/22/2016,18,4.76
S31383800047,03/22/2016,9,2.38
S31383800048,03/22/2016,9,2.38
S31383800049,03/22/2016,18,4.76
S31383800050,03/22/2016,9,2.38
S31383800051,03/22/2016,9,2.38
S31383800093,03/22/2016,1.5,0.4
S31383800101,03/22/2016,3,0.79
S31383800111,03/22/2016,10.5,2.77
S31383800115,03/22/2016,6,1.59
S31383800117,03/22/2016,6,1.59
S31383800118,03/22/2016,3,0.79
S31383800120,03/22/2016,6,1.59
S31383800121,03/22/2016,3,0.79
S31383800122,03/22/2016,3,0.79
S31383800138,03/22/2016,4.5,1.19
S31383800139,03/22/2016,4.5,1.19
S31383800140,03/22/2016,2.25,0.59
S31383800141,03/22/2016,1.88,0.5
S31383800163,03/22/2016,3.6,0.95
S31385000012,03/23/2016,4.5,1.19
S31385000036,03/23/2016,3.5,0.92
S31385100016,03/22/2016,0.38,0.1
S31385100044,03/22/2016,0.75,0.2
S31385100061,03/22/2016,0.75,0.2
S31385100062,03/22/2016,2.25,0.59
S31385100063,03/22/2016,0.75,0.2
S31385100065,03/22/2016,0.75,0.2
S31385100087,03/22/2016,0.6,0.16
S31385700009,03/22/2016,9,2.38
S31385700013,03/22/2016,9,2.38
S31385700014,03/22/2016,9,2.38
S31385700029,03/22/2016,9,2.38
S31386400012,03/22/2016,9,2.38
S31386600028,03/22/2016,9,2.38
S31386600029,03/22/2016,1.5,0.4
S31386600030,03/22/2016,9,2.38
S31386600048,03/22/2016,1.5,0.4
S31386600050,03/22/2016,0.75,0.2
S31387100034,03/23/2016,3,0.79
S31387100035,03/23/2016,9,2.38
S31387100036,03/23/2016,4.8,1.27
S31387100037,03/23/2016,9,2.38
S31387100038,03/23/2016,1.5,0.4
S31387100039,03/23/2016,3,0.79
S31387100040,03/23/2016,3,0.79
S31387100041,03/23/2016,9,2.38
S31387100059,03/23/2016,1.5,0.4
S31387100061,03/23/2016,3,0.79
S31387100065,03/23/2016,4.5,1.19
S31387100066,03/23/2016,3,0.79
S31387100067,03/23/2016,3,0.79
S31388100008,03/22/2016,9,2.38
S31390400011,03/29/2016,9,2.38
S31393500006,03/23/2016,9,2.38
S31393500013,03/23/2016,9,2.38
S31393500022,03/23/2016,9,2.38
S31393500031,03/23/2016,9,2.38
S31393500035,03/23/2016,6,1.59
S31396300030,03/23/2016,0.38,0.1
S31396300033,03/23/2016,0.75,0.2
S31396300034,03/23/2016,0.5,0.13
S31397400017,03/24/2016,4.8,1.27
S31397900018,03/24/2016,3.5,0.92
S31398600004,03/24/2016,3,0.79
S31398600011,03/24/2016,4.8,1.27
S31399800029,03/23/2016,0.75,0.2
S31399800047,03/23/2016,4.5,1.19
S31400900007,03/23/2016,3,0.79
S31401300022,03/23/2016,3,0.79
S31402000001,03/23/2016,9,2.38
S31402000006,03/23/2016,10.5,2.77
S31402500005,03/23/2016,9,2.38
S31402600035,03/24/2016,2.25,0.59
S31402600036,03/24/2016,1.12,0.3
S31402600037,03/24/2016,2.25,0.59
S31403700024,03/24/2016,2.25,0.59
S31403700025,03/24/2016,2.25,0.59
S31407900003,03/23/2016,9,2.38
S31407900031,03/23/2016,1.5,0.4
S31407900032,03/23/2016,1.12,0.3
S31407900033,03/23/2016,0.38,0.1
S31407900034,03/23/2016,2.25,0.59
S31407900035,03/23/2016,1.12,0.3
S31407900036,03/23/2016,0.6,0.16
S31407900037,03/23/2016,2.25,0.59
S31407900038,03/23/2016,1.5,0.4
S31407900075,03/23/2016,1.12,0.3
S31407900077,03/23/2016,0.75,0.2
S31407900088,03/23/2016,0.38,0.1
S31407900090,03/23/2016,0.5,0.13
S31407900091,03/23/2016,1.5,0.4
S31408000005,03/23/2016,9,2.38
S31408200002,03/23/2016,1.5,0.4
S31408200003,03/23/2016,1.2,0.32
S31408200004,03/23/2016,1.2,0.32
S31408200007,03/23/2016,0.5,0.13
S31408200015,03/23/2016,0.75,0.2
S31408200020,03/23/2016,1.5,0.4
S31408200021,03/23/2016,2.25,0.59
S31408200022,03/23/2016,2.25,0.59
S31408200034,03/23/2016,1.5,0.4
S31408200043,03/23/2016,3,0.79
S31408200045,03/23/2016,2.25,0.59
S31408200046,03/23/2016,3,0.79
S31408200047,03/23/2016,2.25,0.59
S31408200058,03/23/2016,3,0.79
S31408200062,03/23/2016,31.5,8.32
S31408200078,03/23/2016,3,0.79
S31408200115,03/23/2016,12,3.17
S31408200122,03/23/2016,24,6.34
S31408200123,03/23/2016,24,6.34
S31408200124,03/23/2016,6,1.59
S31408200128,03/23/2016,24,6.34
S31408200135,03/23/2016,12,3.17
S31411500017,03/23/2016,12,3.17
S31411500035,03/23/2016,9,2.38
S31411500058,03/23/2016,9,2.38
S31411500059,03/23/2016,9,2.38
S31411500091,03/23/2016,2.25,0.59
S31411500093,03/23/2016,2.25,0.59
S31412700014,03/24/2016,2.25,0.59
S31412700020,03/24/2016,117,30.91
S31412700023,03/24/2016,18,4.76
S31412700024,03/24/2016,9.6,2.54
S31412700025,03/24/2016,18,4.76
S31414300036,03/24/2016,9,2.38
S31414300053,03/24/2016,9,2.38
S31414300054,03/24/2016,6,1.59
S31414300055,03/24/2016,9,2.38
S31416600010,03/24/2016,4.5,1.19
S31416600016,03/24/2016,4.5,1.19
S31417300027,03/23/2016,0.5,0.13
S31417300028,03/23/2016,1,0.26
S31417300029,03/23/2016,4.5,1.19
S31418100036,03/24/2016,12,3.17
S31418100037,03/24/2016,12,3.17
S31418100040,03/24/2016,24,6.34
S31418100062,03/24/2016,12,3.17
S31418100066,03/24/2016,4.5,1.19
S31419000011,03/24/2016,9,2.38
S31419000024,03/24/2016,0.5,0.13
S31420900017,03/24/2016,6,1.59
S31420900045,03/24/2016,12,3.17
S31420900046,03/24/2016,12,3.17
S31420900062,03/24/2016,4.5,1.19
S31420900063,03/24/2016,12,3.17
S31420900078,03/24/2016,1.5,0.4
S31420900086,03/24/2016,1.5,0.4
S31423800011,03/24/2016,4.8,1.27
S31423800012,03/24/2016,9,2.38
S31423800015,03/24/2016,2.25,0.59
S31423800016,03/24/2016,2.25,0.59
S31423800017,03/24/2016,2.25,0.59
S31423800018,03/24/2016,2.25,0.59
S31423800019,03/24/2016,2.25,0.59
S31423800020,03/24/2016,2.25,0.59
S31423800021,03/24/2016,2.25,0.59
S31423800022,03/24/2016,2.25,0.59
S31423800047,03/24/2016,1.5,0.4
S31423800048,03/24/2016,2.25,0.59
S31423800052,03/24/2016,1.5,0.4
S31423800056,03/24/2016,2.25,0.59
S31423800057,03/24/2016,2.25,0.59
S31423800058,03/24/2016,2.25,0.59
S31423900022,03/24/2016,2.25,0.59
S31424100002,03/24/2016,2.25,0.59
S31424300029,03/24/2016,9,2.38
S31424700016,03/24/2016,4.8,1.27
S31424700017,03/24/2016,1.5,0.4
S31426700015,03/24/2016,9,2.38
S31426700041,03/24/2016,1.12,0.3
S31427700011,03/24/2016,9,2.38
S31427700023,03/24/2016,4.5,1.19
S31427700025,03/24/2016,9,2.38
S31427700041,03/24/2016,1.5,0.4
S31427700043,03/24/2016,2.25,0.59
S31427700051,03/24/2016,1.5,0.4
S31427700055,03/24/2016,1.5,0.4
S31427700056,03/24/2016,1.5,0.4
S31427700066,03/24/2016,12,3.17
S31428100009,03/24/2016,10.5,2.77
S31428100012,03/24/2016,9,2.38
S31428100051,03/24/2016,3,0.79
S31428100052,03/24/2016,3,0.79
S31428100079,03/24/2016,4.5,1.19
S31428100090,03/24/2016,9,2.38
S31428100091,03/24/2016,9,2.38
S31429300001,03/24/2016,3,0.79
S31432400081,03/24/2016,0.75,0.2
S31432400082,03/24/2016,0.75,0.2
S31432400083,03/24/2016,0.75,0.2
S31432400084,03/24/2016,0.75,0.2
S31432400085,03/24/2016,0.38,0.1
S31432400086,03/24/2016,0.75,0.2
S31432400087,03/24/2016,1.5,0.4
S31432400088,03/24/2016,0.75,0.2
S31432400089,03/24/2016,9,2.38
S31432400090,03/24/2016,0.75,0.2
S31432400091,03/24/2016,1.5,0.4
S31432400092,03/24/2016,0.75,0.2
S31432400093,03/24/2016,1,0.26
S31432400095,03/24/2016,1.75,0.46
S31432400096,03/24/2016,0.75,0.2
S31432400099,03/24/2016,1.5,0.4
S31432400101,03/24/2016,0.75,0.2
S31432400127,03/24/2016,2,0.53
S31432400128,03/24/2016,1.5,0.4
S31432400137,03/24/2016,0.75,0.2
S31432400138,03/24/2016,0.75,0.2
S31432400139,03/24/2016,0.75,0.2
S31432400140,03/24/2016,2.25,0.59
S31432400141,03/24/2016,2.25,0.59
S31432400143,03/24/2016,0.75,0.2
S31432400144,03/24/2016,0.75,0.2
S31432400145,03/24/2016,0.75,0.2
S31442000007,03/29/2016,1,0.26
S31442000010,03/29/2016,1.5,0.4
S31442000013,03/29/2016,2.25,0.59
S31443200003,03/30/2016,36,9.51
S31443200033,03/30/2016,9,2.38
S31443200041,03/30/2016,24,6.34
S31443200042,03/30/2016,12,3.17
S31443200046,03/30/2016,12,3.17
S31443200047,03/30/2016,12,3.17
S31443300025,03/28/2016,9,2.38
S31443300029,03/28/2016,12,3.17
S31443300030,03/28/2016,12,3.17
S31443400011,03/28/2016,9,2.38
S31443400038,03/28/2016,9,2.38
S31443400041,03/28/2016,10.5,2.77
S31443400050,03/28/2016,36,9.51
S31443400051,03/28/2016,12,3.17
S31443400054,03/28/2016,12,3.17
S31443400058,03/28/2016,12,3.17
S31443400059,03/28/2016,12,3.17
S31443400085,03/28/2016,9,2.38
S31443400088,03/28/2016,12,3.17
S31447700001,03/30/2016,9,2.38
S31449700005,03/28/2016,0.5,0.13
S31449700006,03/28/2016,0.6,0.16
S31450300003,03/28/2016,4.5,1.19
S31450300009,03/28/2016,2.25,0.59
S31450300027,03/28/2016,4.5,1.19
S31450300054,03/28/2016,4.5,1.19
S31451400020,03/28/2016,10.5,2.77
S31451400025,03/28/2016,4.5,1.19
S31451400034,03/28/2016,4.5,1.19
S31451400035,03/28/2016,4.5,1.19
S31451400036,03/28/2016,4.5,1.19
S31451400037,03/28/2016,4.5,1.19
S31451400042,03/28/2016,4.5,1.19
S31452300067,03/28/2016,1.5,0.4
S31452300068,03/28/2016,1.5,0.4
S31452300069,03/28/2016,1.5,0.4
S31452300070,03/28/2016,1.5,0.4
S31452300071,03/28/2016,1.5,0.4
S31452300072,03/28/2016,10.5,2.77
S31452300073,03/28/2016,1.5,0.4
S31452300074,03/28/2016,0.5,0.13
S31452300078,03/28/2016,1.5,0.4
S31452300080,03/28/2016,2.25,0.59
S31452300104,03/28/2016,2.25,0.59
S31452300105,03/28/2016,0.5,0.13
S31452300112,03/28/2016,0.75,0.2
S31452300113,03/28/2016,1.5,0.4
S31452300114,03/28/2016,1.5,0.4
S31452300115,03/28/2016,1.5,0.4
S31452300116,03/28/2016,2.25,0.59
S31452300117,03/28/2016,0.75,0.2
S31452300118,03/28/2016,3,0.79
S31452700014,03/29/2016,10.5,2.77
S31453500006,03/28/2016,9,2.38
S31453500007,03/28/2016,9,2.38
S31453500008,03/28/2016,9,2.38
S31453500010,03/28/2016,9,2.38
S31453500011,03/28/2016,9,2.38
S31453500021,03/28/2016,9,2.38
S31453900033,03/28/2016,2.25,0.59
S31453900034,03/28/2016,0.75,0.2
S31453900050,03/28/2016,0.75,0.2
S31453900051,03/28/2016,0.4,0.11
S31453900052,03/28/2016,0.4,0.11
S31453900084,03/28/2016,0.5,0.13
S31454100023,03/29/2016,1.5,0.4
S31456700021,03/28/2016,10.5,2.77
S31456700026,03/28/2016,10.5,2.77
S31456700041,03/28/2016,9,2.38
S31456800014,03/28/2016,9,2.38
S31456800023,03/28/2016,9,2.38
S31456800035,03/28/2016,9,2.38
S31456800047,03/28/2016,9,2.38
S31456800048,03/28/2016,4.5,1.19
S31457000016,03/28/2016,9,2.38
S31457000023,03/28/2016,9,2.38
S31457000037,03/28/2016,9,2.38
S31457000040,03/28/2016,9,2.38
S31457000041,03/28/2016,9,2.38
S31457000055,03/28/2016,9,2.38
S31458700007,03/29/2016,4.5,1.19
S31458700012,03/29/2016,9,2.38
S31459200011,03/29/2016,2.25,0.59
S31459400014,03/28/2016,9,2.38
S31459400018,03/28/2016,2.25,0.59
S31459400025,03/28/2016,0.6,0.16
S31459400026,03/28/2016,2.25,0.59
S31459400027,03/28/2016,0.75,0.2
S31460100006,03/29/2016,9,2.38
S31460100014,03/29/2016,9,2.38
S31461100045,03/28/2016,9,2.38
S31461100047,03/28/2016,5.25,1.39
S31461100048,03/28/2016,5.25,1.39
S31461100049,03/28/2016,1.5,0.4
S31461100050,03/28/2016,1.5,0.4
S31461100054,03/28/2016,0.5,0.13
S31461200015,03/28/2016,4.5,1.19
S31461300020,03/28/2016,1.12,0.3
S31461300021,03/28/2016,1,0.26
S31463300004,03/28/2016,9,2.38
S31463400012,03/28/2016,10.5,2.77
S31463400015,03/28/2016,54,14.27
S31465000034,03/28/2016,0.5,0.13
S31465000035,03/28/2016,9,2.38
S31465000040,03/28/2016,1.5,0.4
S31465000051,03/28/2016,0.5,0.13
S31465000055,03/28/2016,1.12,0.3
S31465000056,03/28/2016,2.25,0.59
S31465000057,03/28/2016,1.5,0.4
S31465000058,03/28/2016,0.75,0.2
S31465000060,03/28/2016,9,2.38
S31465000061,03/28/2016,9,2.38
S31465000062,03/28/2016,9,2.38
S31465000063,03/28/2016,9,2.38
S31465100030,03/28/2016,10.5,2.77
S31465100043,03/28/2016,9,2.38
S31465100045,03/28/2016,0.75,0.2
S31466600011,03/29/2016,4.5,1.19
S31467000005,03/28/2016,4.8,1.27
S31467000006,03/28/2016,3,0.79
S31467000011,03/28/2016,1.5,0.4
S31467000013,03/28/2016,0.75,0.2
S31467400025,03/28/2016,0.5,0.13
S31467400046,03/28/2016,0.75,0.2
S31467400055,03/28/2016,0.6,0.16
S31467400056,03/28/2016,0.6,0.16
S31467400057,03/28/2016,0.6,0.16
S31467400061,03/28/2016,2.25,0.59
S31467400072,03/28/2016,2.25,0.59
S31467400073,03/28/2016,2.25,0.59
S31467400074,03/28/2016,1.5,0.4
S31467400075,03/28/2016,1.5,0.4
S31467400077,03/28/2016,1.75,0.46
S31467400079,03/28/2016,1.5,0.4
S31467400081,03/28/2016,3,0.79
S31467400085,03/28/2016,4,1.06
S31467400086,03/28/2016,1.5,0.4
S31467400088,03/28/2016,1.5,0.4
S31467400089,03/28/2016,2,0.53
S31467400091,03/28/2016,2.25,0.59
S31467400102,03/28/2016,3.5,0.92
S31467400103,03/28/2016,1.5,0.4
S31468000033,03/28/2016,1.5,0.4
S31469500022,03/29/2016,1.12,0.3
S31474900070,03/28/2016,0.6,0.16
S31474900071,03/28/2016,0.2,0.05
S31474900072,03/28/2016,0.75,0.2
S31474900073,03/28/2016,1.5,0.4
S31474900074,03/28/2016,0.75,0.2
S31474900075,03/28/2016,1.5,0.4
S31474900076,03/28/2016,0.5,0.13
S31474900077,03/28/2016,0.75,0.2
S31474900078,03/28/2016,1.5,0.4
S31474900079,03/28/2016,0.38,0.1
S31474900080,03/28/2016,9,2.38
S31474900082,03/28/2016,0.75,0.2
S31474900115,03/28/2016,0.5,0.13
S31474900117,03/28/2016,1.5,0.4
S31474900118,03/28/2016,0.75,0.2
S31474900122,03/28/2016,9,2.38
S31474900123,03/28/2016,0.75,0.2
S31474900124,03/28/2016,9,2.38
S31474900125,03/28/2016,0.75,0.2
S31477400016,03/28/2016,24,6.34
S31477400028,03/28/2016,9,2.38
S31477400031,03/28/2016,12,3.17
S31477400048,03/28/2016,12,3.17
S31477400059,03/28/2016,9,2.38
S31477400074,03/28/2016,10.5,2.77
S31477400076,03/28/2016,3,0.79
S31477400082,03/28/2016,2.25,0.59
S31477400084,03/28/2016,2.25,0.59
S31478300005,03/28/2016,1,0.26
S31478300011,03/28/2016,1.5,0.4
S31478300012,03/28/2016,1.5,0.4
S31478300025,03/28/2016,1.5,0.4
S31478300026,03/28/2016,1.5,0.4
S31478300051,03/28/2016,4.8,1.27
S31478300052,03/28/2016,9,2.38
S31478300055,03/28/2016,9,2.38
S31478300057,03/28/2016,4.5,1.19
S31478800076,03/28/2016,2.25,0.59
S31478800077,03/28/2016,1.5,0.4
S31478800078,03/28/2016,1.12,0.3
S31478800079,03/28/2016,2.25,0.59
S31478800080,03/28/2016,0.5,0.13
S31478800082,03/28/2016,1.5,0.4
S31478800084,03/28/2016,2,0.53
S31478800094,03/28/2016,18,4.76
S31478800116,03/28/2016,0.5,0.13
S31478800121,03/28/2016,9,2.38
S31478800122,03/28/2016,10.5,2.77
S31478800123,03/28/2016,9,2.38
S31478800127,03/28/2016,0.5,0.13
S31478800131,03/28/2016,0.75,0.2
S31478800132,03/28/2016,1.5,0.4
S31478800137,03/28/2016,1.5,0.4
S31478800139,03/28/2016,0.75,0.2
S31478800140,03/28/2016,1.5,0.4
S31480200016,03/28/2016,10.5,2.77
S31480200057,03/28/2016,4.5,1.19
S31480200064,03/28/2016,1,0.26
S31480200065,03/28/2016,1,0.26
S31480200069,03/28/2016,2,0.53
S31480200078,03/28/2016,1.12,0.3
S31480200082,03/28/2016,2.25,0.59
S31480200091,03/28/2016,1.5,0.4
S31480200100,03/28/2016,3,0.79
S31480200101,03/28/2016,2.25,0.59
S31480200102,03/28/2016,2.25,0.59
S31480200107,03/28/2016,3.75,0.99
S31480200108,03/28/2016,2.25,0.59
S31480200109,03/28/2016,2.25,0.59
S31480200110,03/28/2016,3.75,0.99
S31480200120,03/28/2016,1.75,0.46
S31480200127,03/28/2016,4.5,1.19
S31484100031,03/28/2016,0.2,0.05
S31484100032,03/28/2016,1.12,0.3
S31484100033,03/28/2016,0.75,0.2
S31484100034,03/28/2016,0.4,0.11
S31484100035,03/28/2016,9,2.38
S31484100062,03/28/2016,1.88,0.5
S31484100065,03/28/2016,0.75,0.2
S31484100071,03/28/2016,0.5,0.13
S31484100074,03/28/2016,0.5,0.13
